sofifa_id,short_name,long_name,nationality,club,overall,preferred_foot,team_position,pace,shooting,passing,dribbling,defending,physic,year
158023,L. Messi,Lionel Andrés Messi Cuccittini,Argentina,FC Barcelona,94,Left,RW,87,92,92,96,39,66,2020
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Portugal,Juventus,93,Right,LW,90,93,82,89,35,78,2020
190871,Neymar Jr,Neymar da Silva Santos Junior,Brazil,Paris Saint-Germain,92,Right,CAM,91,85,87,95,32,58,2020
192985,K. De Bruyne,Kevin De Bruyne,Belgium,Manchester City,91,Right,RCM,76,86,92,86,61,78,2020
203376,V. van Dijk,Virgil van Dijk,Netherlands,Liverpool,90,Right,LCB,77,60,70,71,90,86,2020
209331,M. Salah,Mohamed  Salah Ghaly,Egypt,Liverpool,90,Left,RW,93,86,81,89,45,74,2020
231747,K. Mbappé,Kylian Mbappé,France,Paris Saint-Germain,89,Right,RW,96,84,78,90,39,75,2020
155862,Sergio Ramos,Sergio Ramos García,Spain,Real Madrid,89,Right,LCB,72,68,75,73,87,85,2020
188545,R. Lewandowski,Robert Lewandowski,Poland,FC Bayern München,89,Right,ST,77,87,74,85,41,82,2020
208722,S. Mané,Sadio Mané,Senegal,Liverpool,88,Right,LW,94,83,77,89,44,74,2020
189509,Thiago,Thiago Alcântara do Nascimento,Spain,FC Bayern München,87,Right,CDM,69,74,85,90,69,63,2020
