sofifa_id,short_name,long_name,nationality,club,overall,preferred_foot,team_position,pace,shooting,passing,dribbling,defending,physic,year
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Portugal,Real Madrid,94,Right,LW,92,92,81,91,33,80,2017
158023,L. Messi,Lionel Andrés Messi Cuccittini,Argentina,FC Barcelona,93,Left,RW,89,90,86,96,26,61,2017
190871,Neymar,Neymar da Silva Santos Junior,Brazil,FC Barcelona,92,Right,LW,91,84,78,95,30,56,2017
188545,R. Lewandowski,Robert Lewandowski,Poland,FC Bayern München,90,Right,ST,81,87,74,85,38,82,2017
155862,Sergio Ramos,Sergio Ramos García,Spain,Real Madrid,89,Right,LCB,78,63,70,71,87,83,2017
192985,K. De Bruyne,Kevin De Bruyne,Belgium,Manchester City,88,Right,RCM,77,83,86,84,40,75,2017
189509,Thiago,Thiago Alcântara do Nascimento,Spain,FC Bayern München,84,Right,LCM,72,75,82,89,57,62,2017
209331,M. Salah,Mohamed  Salah Ghaly,Egypt,Roma,81,Left,RW,91,72,70,86,45,65,2017
208722,S. Mané,Sadio Mané,Senegal,Liverpool,79,Right,RW,92,73,70,82,35,67,2017
203376,V. van Dijk,Virgil van Dijk,Netherlands,Southampton,79,Right,LCB,67,61,65,67,79,83,2017
