sofifa_id,short_name,long_name,nationality,club,overall,preferred_foot,team_position,pace,shooting,passing,dribbling,defending,physic,year
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Portugal,Juventus,94,Right,LW,90,93,81,89,35,79,2019
158023,L. Messi,Lionel Andrés Messi Cuccittini,Argentina,FC Barcelona,94,Left,RW,88,91,88,96,32,61,2019
190871,Neymar Jr,Neymar da Silva Santos Junior,Brazil,Paris Saint-Germain,92,Right,CAM,92,84,83,95,32,59,2019
192985,K. De Bruyne,Kevin De Bruyne,Belgium,Manchester City,91,Right,RCM,77,86,92,87,60,78,2019
155862,Sergio Ramos,Sergio Ramos García,Spain,Real Madrid,91,Right,LCB,75,63,71,71,91,84,2019
188545,R. Lewandowski,Robert Lewandowski,Poland,FC Bayern München,90,Right,ST,78,89,75,85,41,82,2019
209331,M. Salah,Mohamed  Salah Ghaly,Egypt,Liverpool,88,Left,RW,92,84,79,89,45,72,2019
231747,K. Mbappé,Kylian Mbappé,France,Paris Saint-Germain,87,Right,RW,96,81,79,89,39,72,2019
208722,S. Mané,Sadio Mané,Senegal,Liverpool,86,Right,LW,94,80,76,87,42,73,2019
189509,Thiago,Thiago Alcântara do Nascimento,Spain,FC Bayern München,86,Right,CDM,73,74,84,90,67,63,2019
203376,V. van Dijk,Virgil van Dijk,Netherlands,Liverpool,85,Right,LCB,71,60,67,70,85,84,2019
